spot,location,spectra,mineralogy,C_concentration,O_concentration,Na_concentration,Mg_concentration,Al_concentration,Si_concentration,S_concentration,K_concentration,Ca_concentration,Ti_concentration,Mn_concentration,Fe_concentration,Co_concentration,Ni_concentration,Zn_concentration,Ag_concentration,In_concentration,P_concentration,Zr_concentration,Tb_concentration,La_concentration,Yb_concentration,F_concentration,Ru_concentration,W_concentration,Mo_concentration,Ta_concentration,Cr_concentration,Te_concentration,Br_concentration,Sc_concentration,Tl_concentration,Cl_concentration,Nd_concentration,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Mn_wtper,Fe_wtper,Co_wtper,Ni_wtper,Zn_wtper,Ag_wtper,In_wtper,P_wtper,Zr_wtper,Tb_wtper,La_wtper,Yb_wtper,F_wtper,Ru_wtper,W_wtper,Mo_wtper,Ta_wtper,Cr_wtper,Te_wtper,Br_wtper,Sc_wtper,Tl_wtper,Cl_wtper,Nd_wtper
11,1,213,epoxy,2.74,19.62,0.17,0.56,6.9,9.06,1.06,1.16,0.51,0.08,0,1.6,0.05,0,0,0.22,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.35,38.03,0.24,0.91,10.63,14.87,1.84,1.83,0.81,0.15,0,3.07,0.11,0,0,0.47,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,214,epoxy,4.02,42.71,0.3,0.49,8.9,17.77,0,0,0,0.23,0,1.13,0.05,0,0.02,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.24,45.68,0.26,0.5,8.58,17.96,0,0,0,0.27,0,1.35,0.06,0,0.04,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,215,epoxy,7.6,12.47,0.14,0.44,5.52,7.71,3.46,0.98,0.54,0.17,0.01,2.25,0.05,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.87,24.82,0.14,0.55,6.59,9.55,4.56,1.22,0.69,0.26,0.02,3.45,0.08,0,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,216,med_seds,1.57,59.27,0.48,0.11,14.76,14.4,0,0,0,0.12,0,0.5,0.02,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53,54.61,0.46,0.12,15.5,16.85,0,0,0,0.15,0,0.65,0.03,0.03,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,217,med_seds,6.48,25.45,0.31,0.54,8.05,11.52,1.75,0.89,0.58,0,0.02,1.09,0.02,0.02,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,36.18,0.28,0.59,8.29,12.47,2.02,0.95,0.63,0,0.02,1.42,0.03,0.03,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,218,med_seds,5.31,20.06,0.14,1.24,5.8,9.75,1.49,0.74,0.38,0.11,0.02,3.22,0.06,0.04,0.02,0.18,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.49,33.26,0.15,1.61,7.22,12.52,2.03,0.93,0.48,0.17,0.03,4.92,0.1,0.07,0.05,0.31,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,219,epoxy,10.21,5.83,0.07,0.27,2.49,5.57,3.79,1.54,0.65,0,0,0.41,0,0,0.02,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.63,16.33,0.08,0.37,3.32,7.57,5.59,2.2,0.95,0,0,0.73,0,0,0.05,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,220,epoxy,3.75,43.25,0.62,0.54,9.49,15.16,0.78,1.63,0.75,0,0.02,0.92,0.06,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.28,46.92,0.55,0.57,9.35,15.74,0.87,1.63,0.77,0,0.03,1.13,0.08,0.03,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,221,epoxy,3.86,30.91,0.24,1.01,8.14,11.48,1.14,1.12,0.92,0.12,0.03,1.49,0.04,0.01,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.85,42.34,0.25,1.22,9.38,13.9,1.47,1.3,1.08,0.17,0.04,2.12,0.06,0.01,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,222,mz84_seds,23.9,9.26,0,0.11,1.36,1.38,2.48,0.19,0.3,0,0,0.32,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.08,21.23,0,0.14,1.55,1.57,2.98,0.23,0.36,0,0,0.48,0,0.03,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
